requested_index,id,question,type,chapter,right,ta,options_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,imageurl,sohuimg,bestanswer
256,256,年满20周岁，可以初次申请下列哪种准驾车型？,2,1,1,1,"A:大型货车, B:大型客车, C:重型牵引挂车, D:所有车型",大型货车,大型客车,重型牵引挂车,所有车型,,,,,,自2025年1月1日起《机动车驾驶证申领和使用规定》，申请大型货车、中型客车驾驶证在20周岁以上，63周岁以下
27136,27136,机动车行驶证灭失、丢失，机动车所有人要向登记地车辆管理所申请补领、换领。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,机动车登记证书、行驶证、号牌都是属于机动车相关的证件。丢失的需在登记地的车管所申请补领、换领。《机动车登记规定》第五十二条：机动车登记证书、行驶证灭失、丢失或者损毁的，机动车所有人应当向登记地车辆管理所申请补领、换领。申请时，机动车所有人应当确认申请信息并提交身份证明。
7681,7681,发动机号码、车辆识别代号因磨损，锈蚀，事故等原因辨认不清或者损坏的，可以向登记地车辆管理所申请备案。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,已注册登记的机动车，车辆识别代号因磨损、锈蚀、事故等原因辨认不清或者损坏的，机动车所有人应当在信息或者事项变更后三十日内，向登记地车辆管理所申请变更备案，所以选择正确。《机动车登记规定》第二十三条：车辆识别代号因磨损、锈蚀、事故等原因辨认不清或者损坏的，机动车所有人应当在信息或者事项变更后三十日内，向登记地车辆管理所申请变更备案。
258,258,科目三考试分为道路驾驶技能考试和安全文明驾驶常识考试两部分。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,科目三包括道路驾驶技能和安全文明驾驶常识考试科目。其中安全文明驾驶常识考试科目俗称科目四，实际上包含在科目三中，所以选择正确。《机动车驾驶证申领和使用规定》第三十条：机动车驾驶人考试内容分为道路交通安全法律、法规和相关知识考试科目（以下简称“科目一”）、场地驾驶技能考试科目（以下简称“科目二”）、道路驾驶技能和安全文明驾驶常识考试科目（以下简称“科目三”）。
7682,7682,机动车登记证书丢失后应及时补办，避免被不法分子利用。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,机动车登记证书丢失后应及时补办，否则可能被不法分子利用，所以选择正确。《机动车登记规定》第五十二条：动车登记证书、行驶证灭失、丢失或者损毁的，机动车所有人应当向登记地车辆管理所申请补领、换领。申请时，机动车所有人应当确认申请信息并提交身份证明。
27138,27138,机动车驾驶人在一个记分周期内累积记分满12分的，应按规定参加满分学习、考试。,1,1,1,1,"A:正确, B:错误",正确,错误,,,,,,,,一个周期内记满12分的会被暂扣驾驶证，送达满分教育通知书，需参加满分学习、考试。《道路交通安全违法行为记分管理办法》第十七条：机动车驾驶人在一个记分周期内累积记分满12分的，公安机关交通管理部门应当扣留其机动车驾驶证，开具强制措施凭证，并送达满分教育通知书，通知机动车驾驶人参加满分学习、考试。
260,260,在学习驾驶证明的有效期内，科目二和科目三道路驾驶技能考试预约考试的次数分别不得超过多少次？,2,1,3,3,"A:3次, B:4次, C:5次, D:6次",3次,4次,5次,6次,,,,,,科目二和科目三可预约考试的次数分别不得超过5次，第五次考试仍不合格的，已考试合格的其他科目成绩作废，所以选择5次《机动车驾驶证申领和使用规定》第四十七条 ：在学习驾驶证明有效期内，科目二和科目三道路驾驶技能考试预约考试的次数分别不得超过五次第五次考试仍不合格的，已考试合格的其他科目成绩作废
33540,33540,参加公安机关交通管理部门组织的交通安全公益活动的，满几小时为一次，一次扣减几分？,2,1,1,1,"A:1小时，1分, B:2小时，2分, C:1小时，2分, D:2小时，1分",1小时，1分,2小时，2分,1小时，2分,2小时，1分,,,,,,《道路交通安全违法行为记分管理办法》第二十七条：参加公安机关交通管理部门组织的交通安全公益活动的，满一小时为一次，一次扣减1分。
261,261,学习驾驶证明的有效期是（）年。,2,1,2,2,"A:2, B:3, C:4, D:1",2,3,4,1,,,,,,学习驾驶证明的有效期为三年，但有效期截止日期不得超过申请年龄条件上限，所以选择3年《机动车驾驶证申领和使用规定》第四十一条：学习驾驶证明的有效期为三年，但有效期截止日期不得超过申请年龄条件上限申请人应当在有效期内完成科目二和科目三考试
6,6,对未取得驾驶证驾驶机动车的，追究其法律责任。,1,1,1,1,"A:正确, B:错误",,,,,,,,,,未取得驾驶证驾驶机动车的，违反《道路交通安全法》，追究法律责任，由公安机关交通管理部门处二百元以上二千元以下罚款，可以并处十五日以下拘留，所以选择正确。《中华人民共和国道路交通安全法》第九十九条：未取得机动车驾驶证、机动车驾驶证被吊销或者机动车驾驶证被暂扣期间驾驶机动车的，由公安机关交通管理部门处二百元以上二千元以下罚款。
